DAuid,WPname,distance
59151862,Brownville Pub,8065
59151862,Aria Banquet Convention Center,7974
59151862,Bridgeview Park,7745
59151862,Bolivar Park,6342
59151862,Scott Road Skytrain,8028
59151862,Surrey memorial parking,3975
59151862,David Brankin Elementary School/William Beagle Park,6363
59151862,Cedar Hills Shopping Center,5544
59151862,Holland Park,4894
59151862,Central City Shopping mall,3472
59151862,Kwantlen Park,4934
59151862,King George Skytrain,3429
59151862,Surrey Central,3886
59151862,APH Matthew Park,4367
59151865,Bear Creek Park,5508
59151865,Walmart Supercenter (88ave),8144
59151865,Big plaza at 88 and scott road,8989
59151865,LA Matheson Secondary School/Moffat Park,7167
59151865,Tannery Park,7254
59151865,Brownville Pub,9407
59151865,Aria Banquet Convention Center,6820
59151865,Bridgeview Park,6591
59151865,Bolivar Park,5759
59151865,Scott Road Skytrain,6874
59151865,Surrey memorial parking,4178
59151865,David Brankin Elementary School/William Beagle Park,6503
59151865,Cedar Hills Shopping Center,5753
59151865,Holland Park,5034
59151865,Central City Shopping mall,3613
59151865,Kwantlen Park,4324
59151865,King George Skytrain,3569
59151865,Surrey Central,3242
59151865,APH Matthew Park,4507
59151866,Bear Creek Park,5569
59151866,Walmart Supercenter (88ave),8206
59151866,Big plaza at 88 and scott road,9051
59151866,LA Matheson Secondary School/Moffat Park,7228
59151866,Tannery Park,7257
59151866,Brownville Pub,9410
59151866,Aria Banquet Convention Center,6823
59151866,Bridgeview Park,6594
59151866,Bolivar Park,5229
59151866,Scott Road Skytrain,6877
59151866,Surrey memorial parking,4239
59151866,David Brankin Elementary School/William Beagle Park,6564
59151866,Cedar Hills Shopping Center,5814
59151866,Holland Park,4293
59151866,Central City Shopping mall,3572
59151866,Kwantlen Park,4326
59151866,King George Skytrain,3630
59151866,Surrey Central,3245
59151866,APH Matthew Park,4569
59151871,Bear Creek Park,6536
59151871,Walmart Supercenter (88ave),9262
59151871,Big plaza at 88 and scott road,9998
59151871,LA Matheson Secondary School/Moffat Park,8175
59151871,Tannery Park,8132
59151871,Brownville Pub,8478
59151871,Aria Banquet Convention Center,5891
59151871,Bridgeview Park,5663
59151871,Bolivar Park,4830
59151871,Scott Road Skytrain,5945
59151871,Surrey memorial parking,5144
59151871,David Brankin Elementary School/William Beagle Park,7691
59151871,Cedar Hills Shopping Center,6912
59151871,Holland Park,5520
59151871,Central City Shopping mall,4290
59151871,Kwantlen Park,4989
59151871,King George Skytrain,4598
59151871,Surrey Central,3962
59151871,APH Matthew Park,6104
59151872,Bear Creek Park,6910
59151872,Walmart Supercenter (88ave),9636
59151872,Big plaza at 88 and scott road,10372
59151872,LA Matheson Secondary School/Moffat Park,8550
59151872,Tannery Park,8506
59151872,Brownville Pub,8852
59151872,Aria Banquet Convention Center,6265
59151872,Bridgeview Park,6037
59151872,Bolivar Park,5205
59151872,Scott Road Skytrain,6319
59151872,Surrey memorial parking,5519
59151872,David Brankin Elementary School/William Beagle Park,8066
59151872,Cedar Hills Shopping Center,7287
59151872,Holland Park,5895
59151872,Central City Shopping mall,4664
59151872,Kwantlen Park,5363
59151872,King George Skytrain,4972
59151872,Surrey Central,4336
59151872,APH Matthew Park,6478
59151873,Bear Creek Park,7024
59151873,Walmart Supercenter (88ave),9750
59151873,Big plaza at 88 and scott road,10486
59151873,LA Matheson Secondary School/Moffat Park,8664
59151873,Tannery Park,8620
59151873,Brownville Pub,8966
59151873,Aria Banquet Convention Center,6379
59151873,Bridgeview Park,6151
59151873,Bolivar Park,5318
59151873,Scott Road Skytrain,6433
59151873,Surrey memorial parking,5633
59151873,David Brankin Elementary School/William Beagle Park,8179
59151873,Cedar Hills Shopping Center,7401
59151873,Holland Park,6008
59151873,Central City Shopping mall,4778
59151873,Kwantlen Park,5477
59151873,King George Skytrain,5086
59151873,Surrey Central,4450
59151873,APH Matthew Park,6592
59151874,Bear Creek Park,7393
59151874,Walmart Supercenter (88ave),10119
59151874,Big plaza at 88 and scott road,10854
59151874,LA Matheson Secondary School/Moffat Park,9032
59151874,Tannery Park,8989
59151874,Brownville Pub,9335
59151874,Aria Banquet Convention Center,6748
59151874,Bridgeview Park,6519
59151874,Bolivar Park,5687
59151874,Scott Road Skytrain,6802
59151874,Surrey memorial parking,6001
59151874,David Brankin Elementary School/William Beagle Park,8548
59151874,Cedar Hills Shopping Center,7769
59151874,Holland Park,6377
59151874,Central City Shopping mall,5146
59151874,Kwantlen Park,5846
59151874,King George Skytrain,5454
59151874,Surrey Central,4819
59151874,APH Matthew Park,6961
59151880,Bear Creek Park,6914
59151880,Walmart Supercenter (88ave),9550
59151880,Big plaza at 88 and scott road,10326
59151880,LA Matheson Secondary School/Moffat Park,8504
59151880,Tannery Park,8543
59151880,Brownville Pub,10446
59151880,Aria Banquet Convention Center,7859
59151880,Bridgeview Park,7631
59151880,Bolivar Park,6799
59151880,Scott Road Skytrain,7913
59151880,Surrey memorial parking,5591
59151880,David Brankin Elementary School/William Beagle Park,7909
59151880,Cedar Hills Shopping Center,7090
59151880,Holland Park,5579
