INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,FILE_NUMBER,lon,lat
Break and Enter - Residence,15700 WILLS BROOK WAY,1,2020,20-2825,-122.7875715,49.0548431
Break and Enter - Residence,16300 23A AVE,1,2020,20-3737,-122.767599,49.0447229
Break and Enter - Residence,13900 32ND AVE,1,2020,20-5307,-122.837483,49.060255
Break and Enter - Residence,1600 140TH ST,1,2020,20-5460,-122.834363,49.0312503
Break and Enter - Residence,1800 145TH ST,1,2020,20-5781,-122.8200721,49.0348225
Break and Enter - Residence,1800 AMBLE GREENE BLVD,1,2020,20-6058,-122.8540073,49.034687
Break and Enter - Residence,2600 144TH ST,1,2020,20-6845,-122.8232739,49.0492068
Break and Enter - Residence,14800 17TH AVE,1,2020,20-7069,-122.8113237,49.0327407
Break and Enter - Residence,15000 20TH AVE,1,2020,20-7628,-122.8067026,49.0383921
Break and Enter - Residence,3600 DEVONSHIRE DR,1,2020,20-7974,-122.7851234,49.0675626
Break and Enter - Residence,14200 20TH AVE,1,2020,20-8478,-122.829361,49.0384444
Break and Enter - Residence,14000 27A AVE,1,2020,20-8574,-122.8066884,49.0518443
Break and Enter - Residence,3500 194TH ST,1,2020,20-8739,-122.6851475,49.0655029
Break and Enter - Residence,15900 26TH AVE,1,2020,20-9122,-122.7821083,49.0484872
Break and Enter - Residence,3500 194TH ST,1,2020,20-10468,-122.6851475,49.0655029
Break and Enter - Residence,17100 0A AVE,1,2020,20-11092,-122.7469803,49.00300120000001
Break and Enter - Residence,15500 ROSEMARY HEIGHTS CRES,1,2020,20-10662,-122.7926762,49.06129430000001
Break and Enter - Residence,14300 26TH AVE,1,2020,20-11488,-122.8260788,49.0490231
Break and Enter - Residence,1800 128A ST,1,2020,20-11772,-122.8658355,49.0354287
Break and Enter - Residence,16300 23A AVE,1,2020,20-11991,-122.767599,49.0447229
Break and Enter - Residence,13300 26TH AVE,1,2020,20-12033,-122.8537327,49.0491578
Break and Enter - Residence,16000 16TH AVE,1,2020,20-12317,-122.779241,49.0310255
Break and Enter - Residence,2600 141ST ST,1,2020,20-13356,-122.8316695,49.0493299
Break and Enter - Residence,2200 133A ST,1,2020,20-13692,-122.8527892,49.1531416
Break and Enter - Residence,13100 CRESCENT RD,1,2020,20-13782,-122.8591274,49.0559987
Break and Enter - Residence,1700 142ND ST,1,2020,20-13938,-122.8276491,49.0332782
Break and Enter - Residence,1900 169TH ST,1,2020,20-14175,-122.7540739,49.0360253
Break and Enter - Residence,17400 16TH AVE,1,2020,20-15012,-122.7402691,49.0309381
Break and Enter - Residence,17500 20TH AVE,1,2020,20-15329,-122.7379386,49.03807279999999
Break and Enter - Residence,14100 25A AVE,1,2020,20-16182,-122.8314972,49.0481701
Break and Enter - Residence,16900 23RD AVE,1,2020,20-17617,-122.7541529,49.0439321
Break and Enter - Residence,2500 141ST ST,1,2020,20-18691,-122.8311286,49.0474957
Theft from Motor Vehicle,12800 92A AVE,1,2020,20-8155,-122.8675229,49.17061289999999
Theft from Motor Vehicle,13700 105A AVE,1,2020,20-10394,-122.8424156,49.1944309
Theft from Motor Vehicle,10300 SCOTT RD,1,2020,20-14811,-122.8896965,49.1899333
Theft from Motor Vehicle,15500 96B AVE,1,2020,20-1996,-122.7926138,49.1775856
Theft from Motor Vehicle,10700 142A ST,1,2020,20-7996,-122.8272604,49.1970823
Theft from Motor Vehicle,10700 GUILDFORD DR,1,2020,20-10118,-122.8000125,49.19689409999999
Theft of Motor Vehicle,10000 122ND ST,1,2020,20-504,-122.8837353,49.18461869999999
Theft of Motor Vehicle,112TH AVE / 124TH ST,1,2020,20-3430,-122.8786656,49.2063735
Theft of Motor Vehicle,13000 92ND AVE,1,2020,20-3725,-122.8601891,49.16960659999999
Theft of Motor Vehicle,13000 95TH AVE,1,2020,20-4885,-122.8613498,49.1755314
Theft of Motor Vehicle,8800 LAUDER DR,1,2020,20-7017,-122.8413801,49.1633806
Theft of Motor Vehicle,13300 105TH AVE,1,2020,20-7625,-122.8534239,49.1929613
Theft of Motor Vehicle,12500 110TH AVE,1,2020,20-8038,-122.8759358,49.2026455
Theft of Motor Vehicle,9400 KING GEORGE BLVD,1,2020,20-8065,-122.8458645,49.1736894
Theft of Motor Vehicle,10600 138TH ST,1,2020,20-12292,-122.8393635,49.1952234
Theft of Motor Vehicle,13700 96TH AVE,1,2020,20-12697,-122.8433592,49.17649170000001
Theft of Motor Vehicle,122ND ST / 95TH AVE,1,2020,20-13260,-122.884656,49.175427
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-15416,-122.845107,49.186183
Theft of Motor Vehicle,12300 91ST AVE,1,2020,20-15893,-122.8803616,49.16874079999999
Theft of Motor Vehicle,13200 108TH AVE,1,2020,20-8292,-122.8564806,49.1989606
Theft of Motor Vehicle,10600 138TH ST,1,2020,20-13664,-122.8393635,49.1952234
Theft of Motor Vehicle,12500 116TH AVE,1,2020,20-7639,-122.8757279,49.212561
Theft of Motor Vehicle,12500 113B AVE,1,2020,20-8997,-122.8757323,49.2087018
Theft of Motor Vehicle,13400 KING GEORGE BLVD,1,2020,20-1247,-122.8510407,49.202303
Theft of Motor Vehicle,13800 100TH AVE,1,2020,20-1927,-122.8395521,49.1842116
Theft of Motor Vehicle,9600 137TH ST,1,2020,20-2905,-122.842503,49.1369397
Theft of Motor Vehicle,10600 WHALLEY BLVD,1,2020,20-3056,-122.8420955,49.195243
Theft of Motor Vehicle,140TH ST / 104TH AVE,1,2020,20-3336,-122.8341455,49.19143099999999
Theft of Motor Vehicle,11100 135A ST,1,2020,20-3507,-122.8464896,49.20441169999999
Theft of Motor Vehicle,12600 90A AVE,1,2020,20-3750,-122.8736341,49.1673451
Theft of Motor Vehicle,12600 112A AVE,1,2020,20-5125,-122.8730477,49.2070199
Theft of Motor Vehicle,13000 96TH AVE,1,2020,20-5217,-122.862445,49.177086
Theft of Motor Vehicle,10200 CITY PKWY,1,2020,20-5248,-122.8477133,49.1885524
Theft of Motor Vehicle,12500 110TH AVE,1,2020,20-5391,-122.8759358,49.2026455
Theft of Motor Vehicle,9100 138A ST,1,2020,20-5444,-122.8383481,49.1492096
Theft of Motor Vehicle,13000 112TH AVE,1,2020,20-6588,-122.8619065,49.2064208
Theft of Motor Vehicle,90TH AVE / 144TH ST,1,2020,20-6847,-122.8234188,49.1669206
Theft of Motor Vehicle,127TH ST / 104A AVE,1,2020,20-7618,-122.8708959,49.1925015
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-8561,-122.845107,49.186183
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-8594,-122.845107,49.186183
Theft of Motor Vehicle,14100 89B AVE,1,2020,20-10463,-122.831072,49.165808
Theft of Motor Vehicle,12400 113TH AVE,1,2020,20-11542,-122.8783122,49.2077724
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-11679,-122.845107,49.186183
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-12413,-122.845107,49.186183
